file,source,label,group,split
benign (370).png,BUSI,benign,434,test
benign (371).png,BUSI,benign,435,val
benign (372).png,BUSI,benign,436,train
benign (373).png,BUSI,benign,437,train
benign (374).png,BUSI,benign,438,train
benign (375).png,BUSI,benign,439,train
benign (376).png,BUSI,benign,440,test
benign (377).png,BUSI,benign,441,train
benign (378).png,BUSI,benign,442,train
benign (379).png,BUSI,benign,443,train
benign (38).png,BUSI,benign,444,val
benign (380).png,BUSI,benign,445,train
benign (381).png,BUSI,benign,446,train
benign (382).png,BUSI,benign,447,train
benign (383).png,BUSI,benign,448,val
benign (384).png,BUSI,benign,449,train
benign (385).png,BUSI,benign,450,test
benign (386).png,BUSI,benign,451,train
benign (387).png,BUSI,benign,452,train
benign (388).png,BUSI,benign,453,train
benign (389).png,BUSI,benign,454,train
benign (39).png,BUSI,benign,455,train
benign (390).png,BUSI,benign,456,train
benign (391).png,BUSI,benign,457,train
benign (392).png,BUSI,benign,458,train
benign (393).png,BUSI,benign,459,test
benign (394).png,BUSI,benign,460,train
benign (395).png,BUSI,benign,480,test
benign (396).png,BUSI,benign,462,train
benign (397).png,BUSI,benign,463,train
benign (398).png,BUSI,benign,464,val
benign (4).png,BUSI,benign,466,train
benign (40).png,BUSI,benign,467,train
benign (400).png,BUSI,benign,481,test
benign (401).png,BUSI,benign,469,train
benign (402).png,BUSI,benign,470,train
benign (403).png,BUSI,benign,471,test
benign (404).png,BUSI,benign,472,val
benign (405).png,BUSI,benign,473,train
benign (406).png,BUSI,benign,474,train
benign (407).png,BUSI,benign,475,train
benign (408).png,BUSI,benign,476,train
benign (409).png,BUSI,benign,477,train
benign (41).png,BUSI,benign,478,train
benign (410).png,BUSI,benign,479,train
benign (411).png,BUSI,benign,480,test
benign (412).png,BUSI,benign,481,test
benign (413).png,BUSI,benign,482,val
benign (414).png,BUSI,benign,483,train
benign (415).png,BUSI,benign,484,train
benign (416).png,BUSI,benign,485,train
benign (417).png,BUSI,benign,486,train
benign (418).png,BUSI,benign,487,val
benign (419).png,BUSI,benign,488,train
benign (420).png,BUSI,benign,490,test
benign (421).png,BUSI,benign,491,val
benign (422).png,BUSI,benign,492,train
benign (423).png,BUSI,benign,493,train
benign (424).png,BUSI,benign,494,train
benign (425).png,BUSI,benign,495,train
benign (426).png,BUSI,benign,496,test
benign (427).png,BUSI,benign,497,train
benign (428).png,BUSI,benign,498,train
benign (429).png,BUSI,benign,499,val
benign (43).png,BUSI,benign,500,train
benign (430).png,BUSI,benign,501,val
benign (431).png,BUSI,benign,502,train
benign (432).png,BUSI,benign,503,train
benign (434).png,BUSI,benign,505,train
benign (435).png,BUSI,benign,506,train
benign (436).png,BUSI,benign,507,train
benign (44).png,BUSI,benign,509,test
benign (45).png,BUSI,benign,510,train
benign (46).png,BUSI,benign,511,val
benign (47).png,BUSI,benign,512,train
benign (48).png,BUSI,benign,513,train
benign (49).png,BUSI,benign,514,train
benign (5).png,BUSI,benign,515,train
benign (50).png,BUSI,benign,516,test
benign (51).png,BUSI,benign,517,train
benign (52).png,BUSI,benign,518,train
benign (53).png,BUSI,benign,519,train
benign (54).png,BUSI,benign,520,train
benign (55).png,BUSI,benign,521,val
benign (56).png,BUSI,benign,522,train
benign (57).png,BUSI,benign,523,train
benign (58).png,BUSI,benign,524,train
benign (59).png,BUSI,benign,525,test
benign (6).png,BUSI,benign,526,train
benign (60).png,BUSI,benign,527,val
benign (61).png,BUSI,benign,528,train
benign (62).png,BUSI,benign,529,train
benign (63).png,BUSI,benign,530,train
benign (64).png,BUSI,benign,531,val
benign (65).png,BUSI,benign,532,train
benign (66).png,BUSI,benign,533,train
benign (67).png,BUSI,benign,534,test
benign (68).png,BUSI,benign,535,train
benign (69).png,BUSI,benign,536,train
benign (7).png,BUSI,benign,537,train
benign (70).png,BUSI,benign,538,train
benign (71).png,BUSI,benign,539,train
benign (72).png,BUSI,benign,540,test
benign (73).png,BUSI,benign,541,train
benign (74).png,BUSI,benign,542,train
benign (75).png,BUSI,benign,543,val
benign (76).png,BUSI,benign,544,train
benign (77).png,BUSI,benign,545,train
benign (78).png,BUSI,benign,546,val
benign (79).png,BUSI,benign,547,train
benign (8).png,BUSI,benign,548,train
benign (80).png,BUSI,benign,549,train
benign (81).png,BUSI,benign,550,test
benign (82).png,BUSI,benign,551,train
benign (83).png,BUSI,benign,552,train
benign (84).png,BUSI,benign,553,train
benign (86).png,BUSI,benign,555,train
benign (87).png,BUSI,benign,556,test
benign (88).png,BUSI,benign,557,val
benign (89).png,BUSI,benign,558,train
benign (9).png,BUSI,benign,559,train
benign (90).png,BUSI,benign,560,train
benign (91).png,BUSI,benign,561,train
benign (92).png,BUSI,benign,562,train
benign (93).png,BUSI,benign,563,train
benign (94).png,BUSI,benign,564,test
benign (95).png,BUSI,benign,565,val
benign (96).png,BUSI,benign,566,train
benign (97).png,BUSI,benign,567,train
benign (98).png,BUSI,benign,568,train
benign (99).png,BUSI,benign,569,train
malignant (1).png,BUSI,malignant,570,train
malignant (10).png,BUSI,malignant,571,val
malignant (100).png,BUSI,malignant,572,train
malignant (101).png,BUSI,malignant,573,train
malignant (102).png,BUSI,malignant,574,test
malignant (103).png,BUSI,malignant,575,train
malignant (104).png,BUSI,malignant,576,test
malignant (105).png,BUSI,malignant,577,train
malignant (106).png,BUSI,malignant,578,train
malignant (107).png,BUSI,malignant,579,train
malignant (108).png,BUSI,malignant,580,test
malignant (109).png,BUSI,malignant,581,test
malignant (11).png,BUSI,malignant,582,val
malignant (110).png,BUSI,malignant,583,train
malignant (111).png,BUSI,malignant,584,val
malignant (112).png,BUSI,malignant,585,train
malignant (113).png,BUSI,malignant,586,train
malignant (114).png,BUSI,malignant,587,train
malignant (115).png,BUSI,malignant,588,val
malignant (116).png,BUSI,malignant,659,train
malignant (117).png,BUSI,malignant,590,train
malignant (118).png,BUSI,malignant,591,train
malignant (119).png,BUSI,malignant,592,train
malignant (12).png,BUSI,malignant,593,train
malignant (120).png,BUSI,malignant,594,test
malignant (121).png,BUSI,malignant,595,train
malignant (122).png,BUSI,malignant,596,val
malignant (123).png,BUSI,malignant,597,train
malignant (124).png,BUSI,malignant,598,train
malignant (125).png,BUSI,malignant,599,train
malignant (126).png,BUSI,malignant,600,train
malignant (127).png,BUSI,malignant,601,train
malignant (128).png,BUSI,malignant,602,train
malignant (129).png,BUSI,malignant,603,train
malignant (13).png,BUSI,malignant,604,test
malignant (130).png,BUSI,malignant,605,train
malignant (131).png,BUSI,malignant,606,val
malignant (132).png,BUSI,malignant,607,train
malignant (133).png,BUSI,malignant,608,test
malignant (134).png,BUSI,malignant,609,train
malignant (135).png,BUSI,malignant,610,train
malignant (136).png,BUSI,malignant,611,train
malignant (137).png,BUSI,malignant,612,train
malignant (138).png,BUSI,malignant,613,train
malignant (139).png,BUSI,malignant,614,train
malignant (14).png,BUSI,malignant,615,val
malignant (140).png,BUSI,malignant,616,train
malignant (141).png,BUSI,malignant,617,train
malignant (142).png,BUSI,malignant,618,test
malignant (143).png,BUSI,malignant,619,train
malignant (144).png,BUSI,malignant,620,train
malignant (146).png,BUSI,malignant,622,val
malignant (147).png,BUSI,malignant,623,train
malignant (148).png,BUSI,malignant,624,train
malignant (149).png,BUSI,malignant,625,test
malignant (15).png,BUSI,malignant,626,train
malignant (150).png,BUSI,malignant,627,train
malignant (151).png,BUSI,malignant,628,train
malignant (152).png,BUSI,malignant,629,train
malignant (153).png,BUSI,malignant,630,test
malignant (154).png,BUSI,malignant,631,train
malignant (155).png,BUSI,malignant,632,val
malignant (156).png,BUSI,malignant,633,train
malignant (157).png,BUSI,malignant,634,train
malignant (158).png,BUSI,malignant,635,train
malignant (159).png,BUSI,malignant,636,train
malignant (16).png,BUSI,malignant,637,train
malignant (160).png,BUSI,malignant,638,train
malignant (161).png,BUSI,malignant,639,train
malignant (162).png,BUSI,malignant,640,test
malignant (163).png,BUSI,malignant,641,train
malignant (164).png,BUSI,malignant,642,val
malignant (165).png,BUSI,malignant,643,train
malignant (166).png,BUSI,malignant,644,train
malignant (167).png,BUSI,malignant,645,val
malignant (168).png,BUSI,malignant,646,train
malignant (169).png,BUSI,malignant,647,train
malignant (17).png,BUSI,malignant,648,test
malignant (170).png,BUSI,malignant,649,val
malignant (171).png,BUSI,malignant,650,train
malignant (172).png,BUSI,malignant,651,train
malignant (173).png,BUSI,malignant,652,train
malignant (174).png,BUSI,malignant,653,test
malignant (175).png,BUSI,malignant,654,train
malignant (176).png,BUSI,malignant,655,train
malignant (177).png,BUSI,malignant,656,train
malignant (178).png,BUSI,malignant,657,val
malignant (179).png,BUSI,malignant,658,train
malignant (18).png,BUSI,malignant,659,train
malignant (180).png,BUSI,malignant,660,train
malignant (181).png,BUSI,malignant,661,train
malignant (182).png,BUSI,malignant,662,test
malignant (183).png,BUSI,malignant,663,train
malignant (184).png,BUSI,malignant,664,train
malignant (185).png,BUSI,malignant,665,train
malignant (186).png,BUSI,malignant,666,train
malignant (187).png,BUSI,malignant,667,train
malignant (188).png,BUSI,malignant,668,train
malignant (189).png,BUSI,malignant,669,test
malignant (19).png,BUSI,malignant,670,val
malignant (190).png,BUSI,malignant,671,train
malignant (191).png,BUSI,malignant,672,train
malignant (192).png,BUSI,malignant,673,test
malignant (193).png,BUSI,malignant,674,val
malignant (194).png,BUSI,malignant,675,train
malignant (195).png,BUSI,malignant,676,train
malignant (196).png,BUSI,malignant,677,test
malignant (197).png,BUSI,malignant,678,train
malignant (198).png,BUSI,malignant,679,train
malignant (199).png,BUSI,malignant,680,val
malignant (2).png,BUSI,malignant,681,train
malignant (20).png,BUSI,malignant,682,train
malignant (200).png,BUSI,malignant,683,train
malignant (201).png,BUSI,malignant,684,train
malignant (202).png,BUSI,malignant,685,train
malignant (203).png,BUSI,malignant,686,train
malignant (204).png,BUSI,malignant,687,test
malignant (205).png,BUSI,malignant,688,val
malignant (206).png,BUSI,malignant,689,train
malignant (207).png,BUSI,malignant,690,train
malignant (208).png,BUSI,malignant,691,train
malignant (209).png,BUSI,malignant,692,val
malignant (21).png,BUSI,malignant,693,train
malignant (210).png,BUSI,malignant,694,train
malignant (22).png,BUSI,malignant,695,train
malignant (23).png,BUSI,malignant,696,train
malignant (24).png,BUSI,malignant,697,test
malignant (25).png,BUSI,malignant,698,train
malignant (26).png,BUSI,malignant,699,val
malignant (27).png,BUSI,malignant,700,train
malignant (28).png,BUSI,malignant,701,train
malignant (29).png,BUSI,malignant,702,train
malignant (3).png,BUSI,malignant,703,train
malignant (30).png,BUSI,malignant,704,train
malignant (31).png,BUSI,malignant,705,train
malignant (32).png,BUSI,malignant,706,train
malignant (33).png,BUSI,malignant,707,train
malignant (34).png,BUSI,malignant,708,test
malignant (35).png,BUSI,malignant,709,train
malignant (36).png,BUSI,malignant,710,test
malignant (37).png,BUSI,malignant,711,train
malignant (38).png,BUSI,malignant,712,val
malignant (39).png,BUSI,malignant,713,train
malignant (4).png,BUSI,malignant,714,train
malignant (40).png,BUSI,malignant,715,train
malignant (41).png,BUSI,malignant,716,test
malignant (42).png,BUSI,malignant,717,val
malignant (43).png,BUSI,malignant,718,train
malignant (44).png,BUSI,malignant,719,train
malignant (45).png,BUSI,malignant,720,train
malignant (46).png,BUSI,malignant,721,train
malignant (47).png,BUSI,malignant,722,train
malignant (48).png,BUSI,malignant,723,test
malignant (49).png,BUSI,malignant,724,val
malignant (5).png,BUSI,malignant,725,train
malignant (50).png,BUSI,malignant,726,train
malignant (53).png,BUSI,malignant,729,test
malignant (54).png,BUSI,malignant,730,train
malignant (55).png,BUSI,malignant,731,train
